店號,店名,縣巿,地址,電話
257604,崇禮,基隆市,七堵區永富路55號,02-24554821
189075,永富,基隆市,七堵區永富路99號101號103號1樓,02-24557494
132415,正光,基隆市,七堵區自治街9號11號,02-24564983
171007,七堵,基隆市,七堵區明德一路174號,02-24562044
263713,新大慶,基隆市,中山區中和路168巷7弄13號15號1樓,02-24367046
261049,海洋,基隆市,中正區中正路609號1樓,02-24637174
284053,哨船頭,基隆市,中正區義一路83號1樓,02-24288846
236696,愛六,基隆市,仁愛區仁一路281號1樓,02-24265641
292799,新仁二,基隆市,仁愛區仁二路11號13號1樓,02-24264807
171155,新福成,基隆市,仁愛區仁二路84號86號1樓,02-24274348
280822,基隆南站,基隆市,仁愛區港西街5號1樓,02-24258526
277712,新長基,基隆市,安樂區安樂路二段161號,02-24336241
154840,武訓,基隆市,安樂區武訓街102號1樓,02-24329441
279914,瑞金,基隆市,安樂區基金三路75號75之1號1樓,02-24344408
187530,麥金,基隆市,安樂區基金三路80號80-1號1樓,02-34011778
236113,士東,台北市,士林區士東路42號1樓,02-28314732
132574,新士林,台北市,士林區大東路123號125號1樓,02-28835732
216072,新忠誠,台北市,士林區中山北路六段18號20號1樓,02-28314978
171764,福榮,台北市,士林區中正路220號222號,02-28330676
957193,福捷,台北市,士林區中正路235巷14號,02-28839690
210823,齊德,台北市,士林區天母西路85號1樓2樓,02-28745680
174028,三玉,台北市,士林區天母東路88之1號1樓,02-28744580
129372,天美,台北市,士林區天母東路8巷96號98號,02-28762701
195900,珍饌,台北市,士林區文林路126號1樓,02-28839937
960513,至善天下,台北市,士林區至善路二段264號,02-28830232
275233,鑫成,台北市,士林區至誠路二段82號1樓,02-28346370
276225,海光,台北市,士林區延平北路五段35號37號39號,02-28167812
265650,集鑫,台北市,士林區延平北路六段229號231號,02-28113784
128807,德行,台北市,士林區忠誠路二段7號1樓,02-28341724
185567,兒樂,台北市,士林區承德路五段55號,02-28348349
287579,鑫港,台北市,士林區後港街210號,02-28836276
121127,承河,台北市,士林區基河路132號1樓,02-28817180
274137,福國路,台北市,士林區福國路17號17之1號19之1號,02-28318412
896160,福芝,台北市,士林區福國路94號,02-28358739
216119,芝山,台北市,士林區福華路126號1樓,02-28316143
155223,蘭雅,台北市,士林區德行東路6之2號1樓,02-28345909
279084,東吳,台北市,士林區臨溪路70號,02-28835820
264897,民族西,台北市,大同區民族西路151號153號155號,02-25954841
190938,延埕,台北市,大同區延平北路二段159號161號,02-25520267
241861,涼州,台北市,大同區延平北路二段258號,02-25501438
238382,延龍,台北市,大同區延平北路四段16號18號1樓,02-25969446
962542,大龍,台北市,大同區昌吉街72號74號76號及蘭州街135號,02-25947220
143677,長峰,台北市,大同區長安西路45之2號47號1樓,02-25556859
239787,詠樂,台北市,大同區迪化街一段13號全棟,02-25559848
120526,圓泉,台北市,大同區酒泉街25號27號1樓,02-25997457
996523,篷萊,台北市,大同區寧夏路131-1號,02-25539665
260840,慶寧,台北市,大同區寧夏路23號23之1號,02-25569881
280213,信安,台北市,大安區大安路一段218號,02-27048829
241193,頂安,台北市,大安區大安路一段67號1樓,02-27787790
232454,敦南,台北市,大安區大安路一段83巷14號1樓,02-27115066
863698,豫銘,台北市,大安區大安路二段102號,02-27540615
175032,中廣,台北市,大安區仁愛路三段25-1號27號,02-27526751
288804,仁安,台北市,大安區仁愛路四段29號,02-27789367
143253,頂好,台北市,大安區仁愛路四段79號1號,02-87714781
238533,合維,台北市,大安區四維路170巷8號1樓,02-27077030
238500,恆安,台北市,大安區永康街2巷12號1樓,02-23952535
273950,新國聯,台北市,大安區光復南路180巷12號,02-27752026
274171,欣安和,台北市,大安區安和路一段47號,02-87730039
273927,敦安,台北市,大安區安和路一段86號,02-27081857
239732,臨江,台北市,大安區安和路二段67號,02-27844961
894359,辛亥,台北市,大安區辛亥路二段57號,02-23630291
129350,黎元,台北市,大安區辛亥路三段157巷32號1樓臥龍街188巷1號1樓,02-23778253
171063,和金,台北市,大安區和平東路一段91號,02-23414965
239776,龍和,台北市,大安區和平東路二段197號199號1樓,02-27017163
196316,和樂,台北市,大安區和平東路三段228巷45號1樓,02-27326014
855572,和安,台北市,大安區和平東路三段230號,02-27355311
281146,富陽,台北市,大安區和平東路三段298號300號1樓,02-27373519
242668,和鑫,台北市,大安區和平東路三段38號1樓,02-27326448
217271,延吉,台北市,大安區延吉街237號,02-27087348
957285,吉忠,台北市,大安區延吉街72號,02-87725413
963305,義村,台北市,大安區忠孝東路三段160號,02-27312912
996154,鳳翔,台北市,大安區忠孝東路四段216巷68號,02-87710411
232960,統領,台北市,大安區忠孝東路四段223巷9號1樓,02-87734754
265465,鑫忠孝,台北市,大安區忠孝東路四段313號1樓,02-27754406
276638,麟光,台北市,大安區臥龍街252號及252之1號,02-27339761
166739,金華,台北市,大安區金華街140號1樓,02-23914326
167950,東門,台北市,大安區信義路二段198巷6號1樓,02-33224717
155083,鑫復,台北市,大安區信義路三段178號1樓,02-27085803
921633,大信,台北市,大安區信義路三段33號,02-27096471
236973,鑫通,台北市,大安區信義路四段294巷7號1樓,02-27018472
251271,花市,台北市,大安區建國南路一段274號,02-27552540
264266,龍延,台北市,大安區師大路59巷13號,02-23648913
972594,長星,台北市,大安區基隆路三段85號,02-27395493
214858,通化,台北市,大安區通化街26之8號,02-27083071
251798,臨通,台北市,大安區通安街64號1樓,02-23258043
282769,敦頂,台北市,大安區敦化南路一段190巷10號1樓,02-27796271
276731,昇隆,台北市,大安區敦化南路二段238號,02-27328454
263090,龍泉,台北市,大安區羅斯福路三段193號1樓,02-23682936
283094,溫州,台北市,大安區羅斯福路三段245號,02-23626249
278265,羅鑫,台北市,大安區羅斯福路三段29號31號1樓,02-33652502
971867,鑫東一,台北市,中山區一江街11號13號,02-25815255
258113,中山大直,台北市,中山區大直街13號1樓,02-25337026
240019,晶鑽,台北市,中山區中山北路二段39巷8號1樓,02-25115092
250083,榮鑽,台北市,中山區五常街23號25號民族東路410巷62號1樓,02-25179854
170989,天津,台北市,中山區天津街65號,02-25434306
227658,藍天樓,台北市,中山區北安路387號1樓,02-25336042
929006,欣旺,台北市,中山區北安路602之1號1樓604號1樓606號1樓,02-25321290
185051,新大直,台北市,中山區北安路621巷48號,02-25329890
241816,金鑽,台北市,中山區民權西路56號1樓,02-25418601
255011,權東,台北市,中山區民權東路三段71號73號1樓,02-25159982
166175,合江,台北市,中山區合江街58巷1號1樓60號1樓60之1號1樓,02-25054339
130394,吉林,台北市,中山區吉林路209號1樓2樓,02-25312934
255686,圓武,台北市,中山區吉林路24號之2一樓,02-25222464
196660,大吉,台北市,中山區吉林路97號99號1樓,02-25630883
229355,永明,台北市,中山區明水路397巷7弄41號1樓,02-25329445
278438,長松,台北市,中山區松江路65號,02-25045817
209904,森泰,台北市,中山區林森北路358號360號,02-25681096
186559,國學,台北市,中山區長春路182號,02-25068651
