店號,店名,縣巿,地址,電話
132415,正光,基隆市,七堵區自治街9號11號,02-24564983
171007,七堵,基隆市,七堵區明德一路174號,02-24562044
285908,新五福,基隆市,七堵區福五街80號82號1樓,02-24529901
263517,新和慶,基隆市,中山區中和路166之5號166之6號1樓,02-24365587
254225,富華,基隆市,中山區中華路9號,02-24369132
286406,德復,基隆市,中山區復興路193號195號197號1樓,02-24374364
235198,新橫濱,基隆市,中山區復興路209之3號1樓,02-24362473
261049,海洋,基隆市,中正區中正路609號1樓,02-24637174
279006,北寧,基隆市,中正區北寧路382號382-5號,02-24691825
251662,和豐,基隆市,中正區新豐街203號1樓,02-24698861
284053,哨船頭,基隆市,中正區義一路83號1樓,02-24288846
236696,愛六,基隆市,仁愛區仁一路281號1樓,02-24265641
292799,新仁二,基隆市,仁愛區仁二路11號13號1樓,02-24264807
171155,新福成,基隆市,仁愛區仁二路84號86號1樓,02-24274348
280822,基隆南站,基隆市,仁愛區港西街5號1樓,02-24258526
253495,安一,基隆市,安樂區安一路172及174號,02-24260343
277712,新長基,基隆市,安樂區安樂路二段161號,02-24336241
154840,武訓,基隆市,安樂區武訓街102號1樓,02-24329441
139313,新武嶺,基隆市,安樂區基金一路168之26號,02-24334459
252816,武晴,基隆市,安樂區基金一路214之17號,02-34011433
279914,瑞金,基隆市,安樂區基金三路75號75之1號1樓,02-24344408
286417,麥金,基隆市,安樂區基金三路80號80-1號1樓,02-34011778
962313,坤海,基隆市,信義區東明路69號1樓,02-24658451
249348,崇信,基隆市,信義區東信路212-4及214號1樓,02-24657622
273525,基信,基隆市,信義區信二路23號23之4號,02-24267049
951003,深美,基隆市,信義區深美街196號,02-24664831
240167,新暖東,基隆市,暖暖區暖暖街175號177號1樓,02-24580719
286439,碇內,基隆市,暖暖區源遠路158號160號,02-24586443
132574,新士林,台北市,士林區大東路123號125號1樓,02-28835732
184508,大饌,台北市,士林區大東路35號1樓,02-28838865
187758,東洋,台北市,士林區中山北路七段14巷19號Ｂ1,02-28753409
216072,新忠誠,台北市,士林區中山北路六段18號20號1樓,02-28314978
171764,福榮,台北市,士林區中正路220號222號,02-28330676
279730,福正,台北市,士林區中正路301號,02-28812763
210823,齊德,台北市,士林區天母西路85號1樓2樓,02-28745680
293792,三玉,台北市,士林區天母東路88之1號1樓,02-28744580
129372,天美,台北市,士林區天母東路8巷96號98號,02-28762701
177463,天福,台北市,士林區天福里天母東路８巷39號天母東路8巷41弄1號,02-28762502
195900,珍饌,台北市,士林區文林路126號1樓,02-28839937
148524,丹樺,台北市,士林區文林路530號,02-28314649
217282,鑫仰德,台北市,士林區仰德大道三段68號70號,02-28618640
275233,鑫成,台北市,士林區至誠路二段82號1樓,02-28346370
151416,葫蘆,台北市,士林區延平北路五段134號,02-28112919
276225,海光,台北市,士林區延平北路五段35號37號39號,02-28167812
265650,集鑫,台北市,士林區延平北路六段229號231號,02-28113784
200929,誠義,台北市,士林區忠誠路一段126號128號,02-28353013
128807,德行,台北市,士林區忠誠路二段7號1樓,02-28341724
185567,兒樂,台北市,士林區承德路五段55號,02-28348349
231277,社鑫,台北市,士林區社子街42號44號1樓,02-28136371
293301,社正,台北市,士林區社正路75號社中街84號1樓,02-88111936
285296,前德,台北市,士林區前港街17號,02-28835127
287579,鑫港,台北市,士林區後港街210號,02-28836276
266066,冬樂,台北市,士林區美崙街114號,02-28344625
253288,豐基,台北市,士林區基河路368號370號,02-28344187
274137,福國路,台北市,士林區福國路17號17之1號19之1號,02-28318412
896160,福芝,台北市,士林區福國路94號,02-28358739
276270,新劍潭,台北市,士林區福港街246號248號,02-28882016
216119,芝山,台北市,士林區福華路126號1樓,02-28316143
131984,三樂,台北市,士林區劍潭路21號1樓,02-28832921
190592,德天,台北市,士林區德行西路52號1樓,02-28344941
155223,蘭雅,台北市,士林區德行東路6之2號1樓,02-28345909
279084,東吳,台北市,士林區臨溪路70號,02-28835820
136831,雙連,台北市,大同區民生西路176號,02-25558245
264897,民族西,台北市,大同區民族西路151號153號155號,02-25954841
241399,權鑫,台北市,大同區民權西路157之1號1樓,02-25995942
190938,延埕,台北市,大同區延平北路二段159號161號,02-25520267
241861,涼州,台北市,大同區延平北路二段258號,02-25501438
238382,延龍,台北市,大同區延平北路四段16號18號1樓,02-25969446
962542,大龍,台北市,大同區昌吉街72號74號76號及蘭州街135號,02-25947220
143677,長峰,台北市,大同區長安西路45之2號47號1樓,02-25556859
239787,詠樂,台北市,大同區迪化街一段13號全棟,02-25559848
